Name: 湖北卫视, URL: http://222.129.32.10:8888/rtp/239.3.1.138:8044, Date: None, Resolution: None, Response Time: 545ms
Name: 湖北卫视, URL: http://111.197.224.161:4022/rtp/239.3.1.138:8044, Date: None, Resolution: None, Response Time: 546ms
Name: 湖北卫视, URL: http://123.113.237.79:8888/rtp/239.3.1.138:8044, Date: None, Resolution: None, Response Time: 573ms
Name: 东南卫视, URL: http://222.129.32.10:8888/rtp/239.3.1.156:8148, Date: None, Resolution: None, Response Time: 544ms
Name: 东南卫视, URL: http://111.197.224.161:4022/rtp/239.3.1.156:8148, Date: None, Resolution: None, Response Time: 546ms
Name: 东南卫视, URL: http://123.113.237.79:8888/rtp/239.3.1.156:8148, Date: None, Resolution: None, Response Time: 585ms
Name: 广东卫视, URL: http://222.129.32.10:8888/rtp/239.3.1.142:8048, Date: None, Resolution: None, Response Time: 544ms
Name: 广东卫视, URL: http://111.197.224.161:4022/rtp/239.3.1.142:8048, Date: None, Resolution: None, Response Time: 546ms
Name: 广东卫视, URL: http://123.113.237.79:8888/rtp/239.3.1.142:8048, Date: None, Resolution: None, Response Time: 582ms
Name: 辽宁卫视, URL: http://222.129.32.10:8888/rtp/239.3.1.210:8056, Date: None, Resolution: None, Response Time: 543ms
Name: 辽宁卫视, URL: http://111.197.224.161:4022/rtp/239.3.1.210:8056, Date: None, Resolution: None, Response Time: 546ms
Name: 辽宁卫视, URL: http://123.113.237.79:8888/rtp/239.3.1.210:8056, Date: None, Resolution: None, Response Time: 580ms
Name: 黑龙江卫视, URL: http://222.129.32.10:8888/rtp/239.3.1.133:8016, Date: None, Resolution: None, Response Time: 544ms
Name: 黑龙江卫视, URL: http://111.197.224.161:4022/rtp/239.3.1.133:8016, Date: None, Resolution: None, Response Time: 545ms
Name: 黑龙江卫视, URL: http://123.113.237.79:8888/rtp/239.3.1.133:8016, Date: None, Resolution: None, Response Time: 579ms
Name: 深圳卫视, URL: http://222.129.32.10:8888/rtp/239.3.1.134:8020, Date: None, Resolution: None, Response Time: 544ms
Name: 深圳卫视, URL: http://111.197.224.161:4022/rtp/239.3.1.134:8020, Date: None, Resolution: None, Response Time: 545ms
Name: 深圳卫视, URL: http://123.113.237.79:8888/rtp/239.3.1.134:8020, Date: None, Resolution: None, Response Time: 576ms
Name: 贵州卫视, URL: http://222.129.32.10:8888/rtp/239.3.1.149:8076, Date: None, Resolution: None, Response Time: 543ms
Name: 贵州卫视, URL: http://111.197.224.161:4022/rtp/239.3.1.149:8076, Date: None, Resolution: None, Response Time: 546ms
Name: 贵州卫视, URL: http://123.113.237.79:8888/rtp/239.3.1.149:8076, Date: None, Resolution: None, Response Time: 577ms
Name: 天津卫视, URL: http://222.129.32.10:8888/rtp/239.3.1.141:1234, Date: None, Resolution: None, Response Time: 546ms
Name: 天津卫视, URL: http://111.197.224.161:4022/rtp/239.3.1.141:1234, Date: None, Resolution: None, Response Time: 547ms
Name: 天津卫视, URL: http://123.113.237.79:8888/rtp/239.3.1.141:1234, Date: None, Resolution: None, Response Time: 583ms
Name: 河北卫视, URL: http://222.129.32.10:8888/rtp/239.3.1.148:8072, Date: None, Resolution: None, Response Time: 545ms
Name: 河北卫视, URL: http://111.197.224.161:4022/rtp/239.3.1.148:8072, Date: None, Resolution: None, Response Time: 546ms
Name: 河北卫视, URL: http://123.113.237.79:8888/rtp/239.3.1.148:8072, Date: None, Resolution: None, Response Time: 583ms
Name: 重庆卫视, URL: http://222.129.32.10:8888/rtp/239.3.1.122:8160, Date: None, Resolution: None, Response Time: 546ms
Name: 重庆卫视, URL: http://111.197.224.161:4022/rtp/239.3.1.122:8160, Date: None, Resolution: None, Response Time: 546ms
Name: 重庆卫视, URL: http://123.113.237.79:8888/rtp/239.3.1.122:8160, Date: None, Resolution: None, Response Time: 575ms
Name: 江西卫视, URL: http://222.129.32.10:8888/rtp/239.3.1.123:8164, Date: None, Resolution: None, Response Time: 543ms
Name: 江西卫视, URL: http://111.197.224.161:4022/rtp/239.3.1.123:8164, Date: None, Resolution: None, Response Time: 546ms
Name: 江西卫视, URL: http://123.113.237.79:8888/rtp/239.3.1.123:8164, Date: None, Resolution: None, Response Time: 594ms
Name: 吉林卫视, URL: http://222.129.32.10:8888/rtp/239.3.1.240:8172, Date: None, Resolution: None, Response Time: 543ms
Name: 吉林卫视, URL: http://111.197.224.161:4022/rtp/239.3.1.240:8172, Date: None, Resolution: None, Response Time: 547ms
